id,topic
hiddentest_0,financial service
hiddentest_1,complaint
hiddentest_2,new neighbor
hiddentest_3,buy a car
hiddentest_4,visit a temple
hiddentest_5,tour schedule
hiddentest_6,casual talk
hiddentest_7,night life
hiddentest_8,holiday preparation
hiddentest_9,buy auto insurance
hiddentest_10,goods order
hiddentest_11,new CEO
hiddentest_12,see a doctor
hiddentest_13,trip
hiddentest_14,late for work
hiddentest_15,car insurance
hiddentest_16,foreign affair case
hiddentest_17,buy souvenirs
hiddentest_18,unemployment
hiddentest_19,goods packing
hiddentest_20,tour plan
hiddentest_21,office work
hiddentest_22,see a doctor
hiddentest_23,a failed meeting
hiddentest_24,leadership style
hiddentest_25,add classes
hiddentest_26,business lunch
hiddentest_27,bicycle business
hiddentest_28,securities markets
hiddentest_29,check-in
hiddentest_30,income tax
hiddentest_31,meet someone
hiddentest_32,transfer 
hiddentest_33,new suit
hiddentest_34,visa interview
hiddentest_35,deportation
hiddentest_36,business talk
hiddentest_37,tariff
hiddentest_38,health insurance
hiddentest_39,exchange money
hiddentest_40,new position
hiddentest_41,congratulation
hiddentest_42,foreign exchanges
hiddentest_43,complaint
hiddentest_44,exchange money
hiddentest_45,exchange money
hiddentest_46,insurance
hiddentest_47,retirement income
hiddentest_48,dinner party
hiddentest_49,reimbursement
hiddentest_50,car accident investigation
hiddentest_51,fire insurance
hiddentest_52,discrimination in housing
hiddentest_53,fire insurance
hiddentest_54,inspection and reinspection
hiddentest_55,a good job
hiddentest_56,environment problem
hiddentest_57,indemnity
hiddentest_58,entry application
hiddentest_59,meet someone
hiddentest_60,explanation
hiddentest_61,complaint
hiddentest_62,exchange money
hiddentest_63,business visit
hiddentest_64,trade show preparation
hiddentest_65,instruction
hiddentest_66,appeal
hiddentest_67,vacation planning
hiddentest_68,late rent
hiddentest_69,goods order
hiddentest_70,goods delivery
hiddentest_71,greetings and parting
hiddentest_72,vacation plan
hiddentest_73,coverage negotiation
hiddentest_74,payment negotiation
hiddentest_75,ownership transferring
hiddentest_76,flight in storms
hiddentest_77,test drive
hiddentest_78,tour plan
hiddentest_79,company investigation
hiddentest_80,illegal installation
hiddentest_81,greeting
hiddentest_82,hotel
hiddentest_83,reception
hiddentest_84,goods order
hiddentest_85,trade advice
hiddentest_86,city transportation
hiddentest_87,parking ticket
hiddentest_88,book tickets online
hiddentest_89,place the furniture
hiddentest_90,order payment
hiddentest_91,order food
hiddentest_92,sightseeing
hiddentest_93,borrow a key
hiddentest_94,rent a room
hiddentest_95,arbitration clause explanation
hiddentest_96,a broken window
hiddentest_97,casual talk
hiddentest_98,complaint
hiddentest_99,loan
